model,fpr,tpr,threshold
Logistic Regression,0.07494489346069066,0.1596244131455399,0.6540114490687874
Logistic Regression,0.07494489346069066,0.16118935837245696,0.6535810958532965
Logistic Regression,0.07935341660543718,0.16118935837245696,0.6516487351888387
Logistic Regression,0.07935341660543718,0.162754303599374,0.6503300459378906
Logistic Regression,0.08155767817781043,0.162754303599374,0.6492258171522252
Logistic Regression,0.08155767817781043,0.1674491392801252,0.6480536513300569
Logistic Regression,0.08376193975018369,0.1674491392801252,0.6463769063359879
Logistic Regression,0.08376193975018369,0.16901408450704225,0.646150927668441
Logistic Regression,0.08449669360764143,0.16901408450704225,0.6460534481159544
Logistic Regression,0.08449669360764143,0.17214397496087636,0.645620957278671
Logistic Regression,0.08596620132255695,0.17214397496087636,0.6450326885769971
Logistic Regression,0.08596620132255695,0.17370892018779344,0.6448999803024775
Logistic Regression,0.0867009551800147,0.17370892018779344,0.6447451212426266
Logistic Regression,0.0867009551800147,0.1752738654147105,0.6442401820675899
Logistic Regression,0.0881704628949302,0.1752738654147105,0.6441211376769337
Logistic Regression,0.0881704628949302,0.1784037558685446,0.6430008110740137
Logistic Regression,0.08890521675238795,0.1784037558685446,0.6427914702820917
Logistic Regression,0.08890521675238795,0.17996870109546165,0.6424392931732704
Logistic Regression,0.09037472446730345,0.17996870109546165,0.6393020902544609
Logistic Regression,0.09037472446730345,0.18153364632237873,0.6392900967794881
Logistic Regression,0.09110947832476121,0.18153364632237873,0.6390407320685549
Logistic Regression,0.09110947832476121,0.18622848200312989,0.6387748870895742
Logistic Regression,0.09551800146950772,0.18622848200312989,0.6348456090678068
Logistic Regression,0.09551800146950772,0.18779342723004694,0.6347318817192491
Logistic Regression,0.09698750918442321,0.18779342723004694,0.6344936305910823
Logistic Regression,0.09698750918442321,0.18935837245696402,0.6333532006595238
Logistic Regression,0.09845701689933872,0.18935837245696402,0.630944707366707
Logistic Regression,0.09845701689933872,0.19092331768388107,0.6307776710858493
Logistic Regression,0.09992652461425422,0.19092331768388107,0.6296858921718881
Logistic Regression,0.09992652461425422,0.19248826291079812,0.6295419619570994
Logistic Regression,0.10139603232916973,0.19248826291079812,0.6295277356125281
Logistic Regression,0.10139603232916973,0.19405320813771518,0.6286586613672055
Logistic Regression,0.10286554004408523,0.19405320813771518,0.6279339807012737
Logistic Regression,0.10286554004408523,0.19718309859154928,0.627864387683425
Logistic Regression,0.10506980161645849,0.19718309859154928,0.6275264851356172
Logistic Regression,0.10506980161645849,0.20187793427230047,0.6269596840217708
Logistic Regression,0.106539309331374,0.20187793427230047,0.6263009849606376
